IPEDS ID,Name,DoE ID,Freebase mid,OPE ID,Four-Year
420343,Lincoln Technical Institute-Mahwah,163240,/m/0clw25d,00750601,NO
420352,The College of Saints John Fisher & Thomas More,163259,/m/0ft4_4,03189400,YES
420361,New Charter University,163268,,,
420370,Career Technical Institute,188669,/m/0clw26y,03104300,NO
420398,Northwest Vista College,163277,/m/02z1qqg,03372300,NO
420404,ITT Technical Institute-Getzville,,/m/0clw293,00732919,NO
420431,Oconee Fall Line Technical College,163295,/m/0clw29_,03155500,NO
420440,York County Community College,163301,/m/0clw29k,03122900,NO
420459,Northeast Technology Center-Afton,163310,/m/0clw2bf,02052702,NO
420468,Western Suffolk BOCES,163329,/m/0clw2bn,01014700,NO
420495,Sanford-Brown College-Atlanta,230764,/m/0clw28p,02116000,NO
420501,Sanford-Brown College-Middleburg Heights,,/m/0clw28x,02116009,NO
420510,Gutenberg College,163356,,,
420538,Arkansas State University-Mountain Home,163374,/m/02psqzp,00109003,NO
420556,Columbia Gorge Community College,163383,/m/0h3p40,04151900,NO
420583,Foundation College,163408,,,
420608,Colleen O'Haras Beauty Academy,163417,/m/0clw29s,02220000,NO
420705,Bakke Graduate University,163435,/m/03yc7gk,03110800,NO
420723,Tillamook Bay Community College,163444,/m/025zvzl,00321311,NO
420796,Empire Beauty School - Baltimore,163462,,,
420802,Arizona Board of Regents,,/m/0k7lnvt,02598000,YES
420866,Argosy University-Schaumburg,,/m/0clw28g,02179921,YES
420972,DeVry University's Keller Graduate School of Management-California,,,02075416,NO
420981,Manhattan School of Computer Technology,163514,/m/0clw287,03193300,NO
421009,University of Phoenix-Louisiana Campus,,/m/0clw2b6,32098863,YES
421018,University of Phoenix-Metro Detroit Campus,,/m/0clw2bw,02098870,YES
421513,Brown Mackie College-Hopkinsville,,/m/043jnmx,04051320,NO
421540,Indian Capital Technology Center-Sallisaw,163550,/m/0clw29b,01005301,NO
421559,Indian Capital Technology Center-Stilwell,163569,/m/0clw2c9,01005302,NO
421586,Globelle Technical Institute,163578,/m/0clw2c2,03123100,NO
421601,Motif Beauty Academy,163587,,,
421610,Hairitage Hair Academy,163596,/m/0clw2d5,03110400,NO
421647,New York Paralegal School,163602,,,
