Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
American Public University System,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-public-university-system-38193\%22,"Unranked, Regional Universities (South)",N/A,N/A,N/A
American University,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-university-1434\%22,"#75, National Universities",44.20%,3.7,1360 / 30
American University in Bulgaria,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-university-in-bulgaria-BG0001\%22,Unranked,N/A,N/A,N/A
American University in Cairo,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-university-in-cairo-EG0001\%22,Unranked,N/A,N/A,1190
American University of Beirut,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-university-of-beirut-LB0001\%22,Unranked,N/A,2.9,1250
American University of Paris,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-university-of-paris-FR0001\%22,Unranked,N/A,N/A,N/A
American University of Puerto Rico,http://premium.usnews.com/best-colleges/\%22/best-colleges/american-university-of-puerto-rico-11941\%22,Unranked,N/A,N/A,N/A
Amherst College,http://premium.usnews.com/best-colleges/\%22/best-colleges/amherst-college-2115\%22,"#2, National Liberal Arts Colleges",12.96%,N/A,1530 / 34
Amridge University,http://premium.usnews.com/best-colleges/\%22/best-colleges/amridge-university-25034\%22,"RNP, National Liberal Arts Colleges",N/A,N/A,N/A
Anderson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/anderson-university-1785\%22,"#38, Regional Universities (Midwest)",54.01%,3.4,1140 / 25
Anderson University,http://premium.usnews.com/best-colleges/\%22/best-colleges/anderson-university-3418\%22,"#20, Regional Colleges (South)",71.65%,3.4,1180 / 25
Andrews University,http://premium.usnews.com/best-colleges/\%22/best-colleges/andrews-university-2238\%22,"#181, National Universities",37.51%,3.4,1220 / 26
Angelo State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/angelo-state-university-3541\%22,"RNP, Regional Universities (West)",90.22%,3.5,1030 / 23
Anna Maria College,http://premium.usnews.com/best-colleges/\%22/best-colleges/anna-maria-college-2117\%22,"RNP, Regional Universities (North)",67.67%,N/A,975 / 20
Antioch University,http://premium.usnews.com/best-colleges/\%22/best-colleges/antioch-university-3010\%22,"Unranked, Regional Universities (Midwest)",N/A,N/A,N/A
Appalachian Bible College,http://premium.usnews.com/best-colleges/\%22/best-colleges/appalachian-bible-college-7544\%22,Unranked,N/A,N/A,N/A
Appalachian State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/appalachian-state-university-2906\%22,"#9, Regional Universities (South)",63.23%,4,1240 / 28
Aquinas College,http://premium.usnews.com/best-colleges/\%22/best-colleges/aquinas-college-2239\%22,"#57, Regional Universities (Midwest)",69.09%,3.4,N/A / 26
Aquinas College,http://premium.usnews.com/best-colleges/\%22/best-colleges/aquinas-college-3477\%22,"#30, Regional Colleges (South)",50.00%,3.4,1235 / 26
Arcadia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/arcadia-university-3235\%22,"#48, Regional Universities (North)",56.61%,3.6,1200 / 27
Argosy University,http://premium.usnews.com/best-colleges/\%22/best-colleges/argosy-university-21799\%22,"Unranked, National Universities",N/A,N/A,N/A
Arizona Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/arizona-christian-university-7113\%22,Unranked,N/A,3.4,1178 / 25
Arizona State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/arizona-state-university-1081\%22,"#142, National Universities",87.91%,3.4,1240 / 27
Arizona State University--West,http://premium.usnews.com/best-colleges/\%22/best-colleges/arizona-state-university-west-666935\%22,Unranked,N/A,N/A,N/A
Arkansas Baptist College,http://premium.usnews.com/best-colleges/\%22/best-colleges/arkansas-baptist-college-1087\%22,"RNP, Regional Colleges (South)",89.97%,N/A,N/A
Arkansas State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/arkansas-state-university-1090\%22,"#61, Regional Universities (South)",70.56%,3.4,1060 / 25
Arkansas Tech University,http://premium.usnews.com/best-colleges/\%22/best-colleges/arkansas-tech-university-1089\%22,"RNP, Regional Universities (South)",88.00%,3.2,1150 / 25
Armstrong Atlantic State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/armstrong-atlantic-state-university-1546\%22,"RNP, Regional Universities (South)",70.39%,3.2,1090 / 23
Art Academy of Cincinnati,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-academy-of-cincinnati-3011\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Art Center College of Design,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-center-college-of-design-1116\%22,"Unranked, Arts Schools",81.11%,3.3,N/A
Art Institute of Atlanta,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-institute-of-atlanta-9270\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Art Institute of Colorado,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-institute-of-colorado-20789\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Art Institute of Houston,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-institute-of-houston-21171\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Art Institute of Pittsburgh,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-institute-of-pittsburgh-7470\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Art Institute of Portland,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-institute-of-portland-7819\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Art Institute of Seattle,http://premium.usnews.com/best-colleges/\%22/best-colleges/art-institute-of-seattle-234492\%22,"Unranked, Arts Schools",N/A,N/A,N/A
Asbury University,http://premium.usnews.com/best-colleges/\%22/best-colleges/asbury-university-1952\%22,"#4, Regional Colleges (South)",63.33%,3.6,1230 / 27
Ashford University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ashford-university-1881\%22,"RNP, Regional Universities (Midwest)",90.04%,N/A,N/A
Ashland University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ashland-university-3012\%22,"RNP, National Universities",72.25%,N/A,N/A
Assumption College,http://premium.usnews.com/best-colleges/\%22/best-colleges/assumption-college-2118\%22,"#30, Regional Universities (North)",75.34%,3.3,1190 / 27
Athens State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/athens-state-university-1008\%22,"Unranked, Regional Colleges (South)",N/A,N/A,N/A
Auburn University,http://premium.usnews.com/best-colleges/\%22/best-colleges/auburn-university-1009\%22,"#91, National Universities",77.23%,N/A,1280 / 30
Auburn University--Montgomery,http://premium.usnews.com/best-colleges/\%22/best-colleges/auburn-university-montgomery-8310\%22,"#84, Regional Universities (South)",72.21%,3.2,N/A / 22
Augsburg College,http://premium.usnews.com/best-colleges/\%22/best-colleges/augsburg-college-2334\%22,"#26, Regional Universities (Midwest)",65.12%,3.1,1220 / 25
Augustana College,http://premium.usnews.com/best-colleges/\%22/best-colleges/augustana-college-1633\%22,"#100, National Liberal Arts Colleges",68.84%,3.3,1380 / 28
Augustana College,http://premium.usnews.com/best-colleges/\%22/best-colleges/augustana-college-3458\%22,"#3, Regional Colleges (Midwest)",75.62%,3.7,N/A / 28
Aurora University,http://premium.usnews.com/best-colleges/\%22/best-colleges/aurora-university-1634\%22,"RNP, Regional Universities (Midwest)",73.97%,N/A,N/A
Austin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/austin-college-3543\%22,"#82, National Liberal Arts Colleges",59.07%,3.6,1330 / 29
Austin Peay State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/austin-peay-state-university-3478\%22,"#69, Regional Universities (South)",85.69%,3.2,1100 / 24
Ave Maria University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ave-maria-university-39413\%22,"RNP, National Liberal Arts Colleges",61.01%,3.5,1193 / 27
Averett University,http://premium.usnews.com/best-colleges/\%22/best-colleges/averett-university-3702\%22,"#23, Regional Colleges (South)",57.73%,3.2,1050 / 21
Avila University,http://premium.usnews.com/best-colleges/\%22/best-colleges/avila-university-2449\%22,"#102, Regional Universities (Midwest)",58.96%,N/A,N/A
Azusa Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/azusa-pacific-university-1117\%22,"#173, National Universities",52.30%,3.6,1210 / 27
Babson College,http://premium.usnews.com/best-colleges/\%22/best-colleges/babson-college-2121\%22,"Unranked, Business Schools",29.90%,3.6,1340 / 29
Bacone College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bacone-college-3147\%22,"RNP, Regional Colleges (West)",52.40%,N/A,N/A
Baker College of Flint,http://premium.usnews.com/best-colleges/\%22/best-colleges/baker-college-of-flint-4673\%22,"Unranked, Regional Colleges (Midwest)",100.00%,N/A,N/A
Baker University,http://premium.usnews.com/best-colleges/\%22/best-colleges/baker-university-1903\%22,"#62, Regional Universities (Midwest)",84.28%,3.5,1095 / 26
Baldwin Wallace University,http://premium.usnews.com/best-colleges/\%22/best-colleges/baldwin-wallace-university-3014\%22,"#17, Regional Universities (Midwest)",70.03%,3.4,1203 / 27
Ball State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/ball-state-university-1786\%22,"#181, National Universities",61.16%,3.4,1160 / 23
Baptist Bible College,http://premium.usnews.com/best-colleges/\%22/best-colleges/baptist-bible-college-13208\%22,Unranked,N/A,N/A,N/A
Baptist Bible College and Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/baptist-bible-college-and-seminary-2670\%22,Unranked,N/A,N/A,N/A
Baptist College of Florida,http://premium.usnews.com/best-colleges/\%22/best-colleges/baptist-college-of-florida-21596\%22,Unranked,N/A,N/A,1180 / 22
Baptist Memorial College of Health Sciences,http://premium.usnews.com/best-colleges/\%22/best-colleges/baptist-memorial-college-of-health-sciences-34403\%22,Unranked,N/A,N/A,N/A
Baptist Missionary Association Theological Seminary,http://premium.usnews.com/best-colleges/\%22/best-colleges/baptist-missionary-association-theological-seminary-23312\%22,Unranked,N/A,N/A,N/A
Bard College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bard-college-2671\%22,"#38, National Liberal Arts Colleges",35.16%,3.5,1380
Bard College at Simon's Rock,http://premium.usnews.com/best-colleges/\%22/best-colleges/bard-college-at-simons-rock-9645\%22,"#11, Regional Colleges (North)",92.64%,3.4,1490 / 31
Barnard College,http://premium.usnews.com/best-colleges/\%22/best-colleges/barnard-college-2708\%22,"#32, National Liberal Arts Colleges",22.57%,3.8,1440 / 31
Barry University,http://premium.usnews.com/best-colleges/\%22/best-colleges/barry-university-1466\%22,"RNP, National Universities",51.88%,N/A,1040 / 21
Barton College,http://premium.usnews.com/best-colleges/\%22/best-colleges/barton-college-2908\%22,"#30, Regional Colleges (South)",44.22%,3.1,1060 / 22
Bastyr University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bastyr-university-22425\%22,Unranked,N/A,N/A,N/A
Bates College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bates-college-2036\%22,"#22, National Liberal Arts Colleges",26.58%,N/A,1428 / 32
Bauder College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bauder-college-11574\%22,"Unranked, Regional Colleges (South)",N/A,N/A,N/A
Bay Path College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bay-path-college-2122\%22,"RNP, National Liberal Arts Colleges",61.35%,3.2,1090 / 25
Bay State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bay-state-college-3965\%22,"RNP, Regional Colleges (North)",75.97%,N/A,N/A
Bayamon Central University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bayamon-central-university-5022\%22,Unranked,N/A,N/A,N/A
Baylor University,http://premium.usnews.com/best-colleges/\%22/best-colleges/baylor-university-6967\%22,"#75, National Universities",60.65%,N/A,1330 / 29
Beacon College,http://premium.usnews.com/best-colleges/\%22/best-colleges/beacon-college-33733\%22,"Unranked, National Liberal Arts Colleges",N/A,N/A,N/A
Becker College,http://premium.usnews.com/best-colleges/\%22/best-colleges/becker-college-2123\%22,"RNP, Regional Colleges (North)",62.33%,3,1110 / 24
Belhaven University,http://premium.usnews.com/best-colleges/\%22/best-colleges/belhaven-university-2397\%22,"#59, Regional Universities (South)",46.58%,3.2,1150 / 25
Bellarmine University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bellarmine-university-1954\%22,"#16, Regional Universities (South)",86.08%,3.5,1200 / 27
Bellevue College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bellevue-college-3769\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
Bellevue University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bellevue-university-9743\%22,"Unranked, Regional Universities (Midwest)",N/A,N/A,N/A
Bellin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bellin-college-6639\%22,Unranked,N/A,N/A,N/A
Belmont Abbey College,http://premium.usnews.com/best-colleges/\%22/best-colleges/belmont-abbey-college-2910\%22,"#39, Regional Colleges (South)",64.33%,3.1,1130 / 24
Belmont University,http://premium.usnews.com/best-colleges/\%22/best-colleges/belmont-university-3479\%22,"#7, Regional Universities (South)",84.06%,3.5,1270 / 29
Beloit College,http://premium.usnews.com/best-colleges/\%22/best-colleges/beloit-college-3835\%22,"#59, National Liberal Arts Colleges",67.07%,3.5,1400 / 30
Bemidji State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bemidji-state-university-2336\%22,"#92, Regional Universities (Midwest)",93.38%,3.1,N/A / 23
Benedict College,http://premium.usnews.com/best-colleges/\%22/best-colleges/benedict-college-3420\%22,"Unranked, Regional Colleges (South)",84.27%,N/A,N/A
Benedictine College,http://premium.usnews.com/best-colleges/\%22/best-colleges/benedictine-college-10256\%22,"#30, Regional Colleges (Midwest)",61.01%,3.5,1283 / 27
Benedictine University,http://premium.usnews.com/best-colleges/\%22/best-colleges/benedictine-university-1767\%22,"RNP, National Universities",75.85%,N/A,N/A / 25
Benjamin Franklin Institute of Technology,http://premium.usnews.com/best-colleges/\%22/best-colleges/benjamin-franklin-institute-of-technology-2151\%22,"Unranked, Engineering Schools",N/A,N/A,N/A
Bennett College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bennett-college-2911\%22,"RNP, National Liberal Arts Colleges",69.46%,2.8,830 / 20
Bennington College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bennington-college-3682\%22,"#100, National Liberal Arts Colleges",63.03%,3.5,1380 / 30
Bentley University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bentley-university-2124\%22,"#4, Regional Universities (North)",45.06%,N/A,1290 / 29
Berea College,http://premium.usnews.com/best-colleges/\%22/best-colleges/berea-college-1955\%22,"#76, National Liberal Arts Colleges",31.82%,3.4,1285 / 27
Berkeley College,http://premium.usnews.com/best-colleges/\%22/best-colleges/berkeley-college-183789\%22,"Unranked, Business Schools",N/A,N/A,N/A
Berkeley College,http://premium.usnews.com/best-colleges/\%22/best-colleges/berkeley-college-7394\%22,"Unranked, Business Schools",N/A,N/A,N/A
Berklee College of Music,http://premium.usnews.com/best-colleges/\%22/best-colleges/berklee-college-of-music-2126\%22,"Unranked, Arts Schools",19.16%,N/A,N/A
Berry College,http://premium.usnews.com/best-colleges/\%22/best-colleges/berry-college-1554\%22,"#126, National Liberal Arts Colleges",66.11%,3.7,1250 / 29
Bethany College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethany-college-1904\%22,"#64, Regional Colleges (Midwest)",59.69%,N/A,N/A
Bethany College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethany-college-3808\%22,"RNP, National Liberal Arts Colleges",43.01%,2.8,990 / 22
Bethany Lutheran College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethany-lutheran-college-2337\%22,"RNP, National Liberal Arts Colleges",78.00%,3.4,N/A / 27
Bethel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethel-college-1787\%22,"#19, Regional Colleges (Midwest)",73.43%,3.4,1160 / 26
Bethel College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethel-college-1905\%22,"#19, Regional Colleges (Midwest)",64.88%,3.4,1260 / 27
Bethel University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethel-university-3480\%22,"RNP, Regional Universities (South)",55.28%,N/A,1120 / 23
Bethel University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethel-university-9058\%22,"#21, Regional Universities (Midwest)",93.12%,3.5,1306 / 28
Bethune-Cookman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bethune-cookman-university-1467\%22,"#41, Regional Colleges (South)",70.23%,2.9,900 / 18
BI Norwegian Business School,http://premium.usnews.com/best-colleges/\%22/best-colleges/bi-norwegian-business-school-NL0001\%22,Unranked,N/A,N/A,N/A
Binghamton University--SUNY,http://premium.usnews.com/best-colleges/\%22/best-colleges/binghamton-university-suny-2836\%22,"#97, National Universities",42.87%,3.6,1385 / 30
Biola University,http://premium.usnews.com/best-colleges/\%22/best-colleges/biola-university-1122\%22,"#177, National Universities",74.66%,3.5,1230 / 27
Birmingham-Southern College,http://premium.usnews.com/best-colleges/\%22/best-colleges/birmingham-southern-college-1012\%22,"#115, National Liberal Arts Colleges",80.62%,3.5,1220 / 29
Bismarck State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bismarck-state-college-2988\%22,"Unranked, Regional Colleges (Midwest)",N/A,N/A,N/A
Black Hills State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/black-hills-state-university-3459\%22,"RNP, Regional Universities (Midwest)",94.17%,N/A,N/A
Blackburn College,http://premium.usnews.com/best-colleges/\%22/best-colleges/blackburn-college-1639\%22,"#49, Regional Colleges (Midwest)",61.28%,3.3,N/A / 26
Blessing-Rieman College of Nursing,http://premium.usnews.com/best-colleges/\%22/best-colleges/blessing-rieman-college-of-nursing-6214\%22,Unranked,N/A,N/A,N/A
Bloomfield College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bloomfield-college-2597\%22,"RNP, National Liberal Arts Colleges",54.64%,2.6,910
Bloomsburg University of Pennsylvania,http://premium.usnews.com/best-colleges/\%22/best-colleges/bloomsburg-university-of-pennsylvania-3315\%22,"#95, Regional Universities (North)",67.59%,3.3,1080 / 23
Blue Mountain College,http://premium.usnews.com/best-colleges/\%22/best-colleges/blue-mountain-college-2398\%22,"#23, Regional Colleges (South)",31.49%,3.5,1190 / 25
Bluefield College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bluefield-college-3703\%22,"#53, Regional Colleges (South)",53.21%,3.2,1030 / 20
Bluefield State College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bluefield-state-college-3809\%22,"RNP, Regional Colleges (South)",46.78%,3.3,1030 / 21
Bluffton University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bluffton-university-3016\%22,"#25, Regional Colleges (Midwest)",58.49%,3.3,1160 / 24
Boise State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/boise-state-university-1616\%22,"#65, Regional Universities (West)",85.38%,3.4,1180 / 25
Boricua College,http://premium.usnews.com/best-colleges/\%22/best-colleges/boricua-college-13029\%22,"Unranked, Regional Colleges (North)",56.29%,N/A,N/A
Boston Architectural College,http://premium.usnews.com/best-colleges/\%22/best-colleges/boston-architectural-college-3966\%22,"Unranked, Arts Schools",100.00%,N/A,N/A
Boston College,http://premium.usnews.com/best-colleges/\%22/best-colleges/boston-college-2128\%22,"#31, National Universities",28.81%,N/A,1450 / 32
Boston Conservatory,http://premium.usnews.com/best-colleges/\%22/best-colleges/boston-conservatory-2129\%22,"Unranked, Arts Schools",39.17%,N/A,N/A
Boston University,http://premium.usnews.com/best-colleges/\%22/best-colleges/boston-university-2130\%22,"#41, National Universities",45.61%,3.6,1390 / 30
Bowdoin College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bowdoin-college-2038\%22,"#4, National Liberal Arts Colleges",15.78%,3.8,1520 / 33
Bowie State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bowie-state-university-2062\%22,"RNP, National Universities",48.14%,2.8,980 / 19
Bowling Green State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bowling-green-state-university-3018\%22,"#181, National Universities",73.55%,3.2,1130 / 24
Bradley University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bradley-university-1641\%22,"#5, Regional Universities (Midwest)",63.30%,3.7,1310 / 28
Brandeis University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brandeis-university-2133\%22,"#32, National Universities",39.11%,3.8,1450 / 32
Brandman University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brandman-university-1164B\%22,"Unranked, Regional Universities (West)",N/A,N/A,N/A
Brazosport College,http://premium.usnews.com/best-colleges/\%22/best-colleges/brazosport-college-7287\%22,"Unranked, Regional Colleges (West)",N/A,N/A,N/A
Brenau University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brenau-university-1556\%22,"#49, Regional Universities (South)",30.28%,N/A,1060
Brescia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/brescia-university-1958\%22,"#36, Regional Colleges (South)",20.51%,3.3,N/A / 25
Brevard College,http://premium.usnews.com/best-colleges/\%22/best-colleges/brevard-college-2912\%22,"RNP, National Liberal Arts Colleges",53.74%,3,1070 / 22
Brewton-Parker College,http://premium.usnews.com/best-colleges/\%22/best-colleges/brewton-parker-college-1557\%22,"RNP, Regional Colleges (South)",94.54%,N/A,N/A
Briar Cliff University,http://premium.usnews.com/best-colleges/\%22/best-colleges/briar-cliff-university-1846\%22,"#39, Regional Colleges (Midwest)",62.48%,3.2,1030 / 24
Briarcliffe College,http://premium.usnews.com/best-colleges/\%22/best-colleges/briarcliffe-college-20757\%22,"Unranked, Regional Colleges (North)",N/A,N/A,N/A
Bridgewater College,http://premium.usnews.com/best-colleges/\%22/best-colleges/bridgewater-college-3704\%22,"RNP, National Liberal Arts Colleges",54.33%,3.4,1150 / 22
Bridgewater State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/bridgewater-state-university-2183\%22,"RNP, Regional Universities (North)",73.34%,3.2,1110 / 22
Brigham Young University--Hawaii,http://premium.usnews.com/best-colleges/\%22/best-colleges/brigham-young-university-hawaii-1606\%22,"#18, Regional Colleges (West)",28.88%,N/A,N/A
Brigham Young University--Idaho,http://premium.usnews.com/best-colleges/\%22/best-colleges/brigham-young-university-idaho-1625\%22,"#13, Regional Colleges (West)",99.36%,N/A,N/A
