IPEDS ID,School Name,OPE ID
148919,Advocate Trinity Hospital,"""00418100"""
148973,Sparks College,"""00457100"""
149019,Springfield College in Illinois,"""00176100"""
149286,Swedish American Hospital,
150127,Ball Memorial Hospital,"""02347600"""
150525,Evansville Tri-State Beauty College,"""02118900"""
150640,Good Samaritan Hospital,"""00420300"""
151209,Harrison College - Muncie,"""03009700"""
152114,PJ's College of Cosmetology,
152187,PJ's College of Cosmetology - Indianapolis,"""02337203"""
152284,Reid Hospital and Health Care Services,
153038,Daytons School of Hair Design,"""00811600"""
153205,Denison Job Corps Center,
153676,Jennie Edmundson Memorial Hospital,
154299,Covenant Medical Center- Waterloo,
154411,Mercy Medical Center-North Iowa,
154484,Dayton School of Hair Design,"""02333200"""
154509,Vennard College,"""00189400"""
154633,Academy of Hair Design Inc,"""00868200"""
154651,American Institute of Baking,"""02303500"""
154819,Cutting Edge Hairstyling Academy,"""02196400"""
154943,Marinello School of Beauty - Overland Park,"""03450302"""
155265,Kansas City Ks Area Technical School,"""00192502"""
155478,Southwest Kansas Technical School,"""00817200"""
155609,Northeast Kansas Technical College,"""00192114"""
155946,Baker University School of Nursing,"""00190302"""
156611,E-Town Beauty School,"""02279800"""
156675,Ezell's Cosmetology School,"""03516500"""
156930,Jefferson Technical College,"""00696103"""
157094,King's Daughters' Medical Center,
157146,Lexington Beauty College,"""01240400"""
157173,Lexington Community College,"""00970700"""
157234,Louisville Bible College,
157395,Mr. Jim's College of Cosmetology,"""03103500"""
157641,St Joseph Healthcare,
158079,Alexandria Academy of Beauty Culture,"""02493400"""
158282,Bastrop Beauty School Inc,"""02263600"""
158769,Louisiana Technical College - Delta-Ouachita Campus,"""00548809"""
159258,Louisiana Technical College - Jefferson Campus,"""00548816"""
159267,Louisiana Technical College - West Jefferson Campus,"""00548841"""
159452,Lousiana Technical College,
159498,Ray's Faith Academy of Beauty Education,
159799,Moler Beauty College,"""00967400"""
159805,Moler Beauty College,
