ID	Name	Median SAT score	Graduation rate	Retention rate
182	University of Wisconsin--Madison	1269	83	95
183	Northeastern University	1342	79	94
184	University of California--Los Angeles	1303	92	97
185	George Washington University	1293	80	93
186	Biola University	1109	65	85
187	University of North Carolina--Chapel Hill	1289	89	97
188	University of Maryland--College Park	1294	82	94
189	Lehigh University	1296	88	94
190	University of Rochester	1334	85	96
191	Georgia Institute of Technology-Main Campus	1313	79	95
192	University of Illinois--Urbana-Champaign	1337	84	94
193	Case Western Reserve University	1342	78	92
194	University of California--Berkeley	1366	91	97
195	New York University	1345	85	92
197	Rensselaer Polytechnic Institute	1366	84	92
198	University of Virginia-Main Campus	1330	94	97
199	University of Michigan--Ann Arbor	1343	91	96
200	College of William and Mary	1341	90	95
201	Boston College	1355	92	95
202	University of Southern California	1360	90	97
203	Brandeis University	1329	90	94
204	Carnegie Mellon University	1383	87	96
205	Johns Hopkins University	1399	94	97
206	Cornell University	1415	93	96
207	Georgetown University	1405	93	96
208	Emory University	1365	90	95
209	Rice University	1436	92	96
210	University of Notre Dame	1420	95	98
211	Vanderbilt University	1466	92	96
212	Brown University	1422	95	98
213	Duke University	1456	95	97
214	Stanford University	1476	95	98
215	University of Pennsylvania	1436	96	98
216	Northwestern University	1453	93	97
217	Dartmouth College	1448	96	98
218	Tufts University	1426	92	96
219	Massachusetts Institute of Technology	1470	93	97
220	Columbia University	1476	97	99
221	Washington University in St. Louis	1460	94	97
222	University of Chicago	1486	92	99
223	Harvard University	1479	97	98
224	Princeton University	1506	96	98
225	Yale University	1506	96	99
226	California Institute of Technology	1533	92	98
227	Rhode Island School of Design	1239	88	95
228	Harvey Mudd College	1469	88	98
229	Babson College	1263	91	93
230	Williams College	1434	96	97
231	Colgate University	1350	90	95
232	Washington and Lee University	1377	90	94
233	Swarthmore College	1438	92	97
234	Loyola University Maryland	1175	84	88
235	Amherst College	1431	95	98
236	Cooper Union	1330	82	94
237	Bucknell University	1283	90	94
238	Claremont McKenna College	1405	92	95
239	Georgia Institute of Technology	1339	79	94
240	United States Air Force Academy	1317	80	90
241	Davidson College	1349	93	97
242	Virginia Military Institute	1121	71	84
243	Rose-Hulman Institute of Technology	1251	80	91
244	South Dakota School of Mines and Technology	1097	46	80
245	Haverford College	1406	93	96
246	California Polytechnic State University--San Luis Obispo	1231	73	92
247	Dickinson College	1283	85	91
249	Wesleyan University	1384	91	96
250	Lafayette College	1279	91	95
251	Colby College	1320	90	95
252	Kenyon College	1333	90	93
253	Carleton College	1423	94	97
254	Hampden-Sydney College	1091	68	79
255	California State Polytechnic University--Pomona	1014	51	89
256	Texas A&M University--College Station	1169	80	92
257	Fairfield University	1173	81	88
258	Gettysburg College	1299	84	91
259	Bowdoin College	1436	95	96
260	University of Texas--Austin	1235	79	92
261	Occidental College	1300	84	92
262	Middlebury College	1381	94	96
263	University of Washington	1211	80	93
264	Villanova University	1286	88	94
265	San Jose State University	1039	47	84
266	Macalester College	1350	90	95
267	University of Virginia	1348	93	97
268	Kettering University	1175	55	89
269	Denison University	1286	86	90
270	Fairleigh Dickinson University	1010	54	73
271	Rutgers, the State University of New Jersey--New Brunswick	1197	79	92
272	Milwaukee School of Engineering	1185	56	78
273	Wellesley College	1384	92	96
274	Butler University	1160	73	89
276	University of Colorado--Boulder	1176	68	84
277	University of Maryland	1289
278	Seattle Pacific University	1110	72	86
279	Trinity College	1283	83	91
280	Embry-Riddle Aeronautical University	1108	58	73
281	Grove City College	1226	82	91
282	Oregon Institute of Technology	1003	48	72
284	University of Maryland--Baltimore	1206	57	85
285	Colorado College	1335	90	95
286	Gonzaga University	1194	81	92
287	Wheaton College - Wheaton, IL	1309	90	96
288	Trinity University	1244	80	89
289	Providence College	1155	87	91
290	Ohio Northern University	1153	67	85
291	Whitman College	1329	87	94
292	Vassar College	1394	91	97
293	Furman University	1205	83	90
294	Miami University Hamilton	1175	27	55
295	Millsaps College	1102	72	81
296	Pomona College	1434	96	98
297	Auburn University	1168	68	88
298	Willamette University	1219	77	88
299	Hendrix College	1226	72	85
300	Binghamton University--SUNY	1283	79	91
301	Reed College	1393	79	90
302	DePauw University	1193	78	90
303	Drake University	1180	74	88
304	Pacific Lutheran University	1097	69	82
305	Louisiana State University--Baton Rouge	1142	67	84
306	Presbyterian College	1086	68	83
307	The Citadel	1087	66	82
308	University of Richmond	1293	83	93
309	California State University--Long Beach	1027	57	88
310	University of Portland	1196	74	89
311	Oberlin College	1353	85	94
312	Rutgers, the State University of New Jersey--Newark	1045	61	86
313	California State University--Sacramento	958	41	81
314	James Madison University	1150	80	91
315	Montana Tech of the University of Montana	1096	46	68
316	California State University--Chico	1020	56	85
317	University of Mary Washington	1126	76	84
318	Gustavus Adolphus College	1242	83	92
319	University of Oklahoma	1171	66	84
320	California State University--East Bay	915	41	74
321	North Carolina State University	1163
322	Ursinus College	1209	74	90
323	Tulane University	1342	75	90
324	University at Albany--SUNY	1098	64	85
325	Valparaiso University	1099	74	83
326	Muhlenberg College	1240	87	92
327	University of Arkansas	1132	60	83
328	Randolph-Macon College	1079	56	78
329	Quinnipiac University	1099	75	87
330	Bryant University	1133	80	87
331	Connecticut College	1333	85	90
332	University of New Haven	1046	56	73
333	Monmouth University	1063	64	79
334	St. Anselm College	1117	74	86
335	University of Colorado--Denver	1085	45	73
336	Barnard College	1355	90	95
337	Western Washington University	1109	67	85
338	University of Tennessee	1172	66	85
339	Grinnell College	1390	90	94
340	California State University--Fullerton	1027	51	84
341	California State University--Northridge	927	48	74
342	Rider University	1041	67	80
343	Towson University	1087	66	85
344	Xavier University	1105	78	83
345	Rhodes College	1261	81	90
346	University of North Carolina--Chapel Hill	1289	89	97
347	Allegheny College	1185	78	87
348	Wofford College	1247	84	89
349	Albion College	1113	72	80
350	Norwich University	1058	54	79
351	Ohio State University--Columbus	1230	82	93
352	College of New Jersey	1223	87	95
353	University of Alabama--Huntsville	1152	47	77
354	Arizona State University	1094	57	82
356	Seattle University	1169	77	88
357	University of New England	1058	58	77
358	University of Missouri	1164	71	85
359	Ramapo College of New Jersey	1103	73	87
360	University of Colorado--Colorado Springs	1089	46	68
361	West Virginia University	1045	56	79
362	Sacred Heart University	1088	63	79
363	William Jewell College	1138	69	76
364	Hamilton College	1376	91	95
365	Beloit College	1230	78	89
366	San Francisco State University	998	47	78
367	St. Thomas University	914	32	69
368	Tuskegee University	900	38	74
369	Calvin College	1204	77	87
370	Montana State University, Bozeman	1113
371	California State University--Fresno	925	48	84
372	Central College	1025	69	80
373	University of Puget Sound	1240	77	87
374	California State University--San Bernardino	899	46	86
375	Ripon College	1114	72	84
376	St. Olaf College	1277	86	93
377	Xavier University of Louisiana	973	47	67
378	Drew University	1095	69	80
379	Knox College	1263	79	89
380	McDaniel College	1120	74	82
381	North Dakota State University	1115	53	78
382	University of Dallas	1199	69	81
383	New Mexico State University	975	44	72
384	William Paterson University of New Jersey	1024	48	78
385	Kean University	929	50	79
386	University of North Dakota	1068	54	77
387	Rockhurst University	1104	67	83
388	Central Connecticut State University	1007	52	78
389	Regis University	1094	59	85
390	Salve Regina University	1108	72	80
391	Austin College	1226	77	83
392	Eastern Connecticut State University	1013	53	77
393	Westminster College - Salt Lake City, UT		57	78
394	Cornell College	1220	71	81
395	Rowan University	1093	70	84
396	Washington College	1154	69	84
397	College of St. Benedict	1111	81	89
398	California State University--Los Angeles	883	37	80
399	University of New Mexico	1084	46	77
400	Lipscomb University	1124	56	75
401	SUNY--New Paltz	1115	73	88
