ID	Name	Median SAT score	Graduation rate	Retention rate
850	Converse College	1059	54	69
851	Coppin State University		15	62
852	Corban University	1043	55	74
853	Corcoran College of Art and Design		58	71
854	Cornerstone University	1045	44	76
855	Cornish College of the Arts		50	66
856	Covenant College	1183	61	81
857	Cox College
858	Creighton University	1174	75	89
859	Criswell College
860	Crown College	993	50	72
861	Culinary Institute of America	1040
862	Culver-Stockton College	920	51	66
863	Cumberland University	896	31	67
864	CUNY--Baruch College	1219	66	90
865	CUNY--Brooklyn College	1110	54	82
866	CUNY--City College	1114	42	82
867	CUNY--College of Staten Island	985	47	83
868	CUNY--Hunter College	1172	46	85
869	CUNY--John Jay College of Criminal Justice	930	43	77
870	CUNY--Lehman College	963	34	79
871	CUNY--Medgar Evers College	776	10	61
872	CUNY--New York City College of Technology		23	76
873	CUNY--Queens College	1083	54	87
874	CUNY--York College	871	24	76
875	Curry College	922	43	66
876	Curtis Institute of Music		85	95
877	D'Youville College	1001	45	73
878	Daemen College	1009	49	78
879	Dakota State University	981	42	64
880	Dakota Wesleyan University	986	42	67
881	Dalhousie University
882	Dallas Baptist University	1113	54	73
883	Dallas Christian College
884	Dalton State College	950	17	65
885	Daniel Webster College	1000	42	63
886	Davenport University		23	67
887	Davis and Elkins College		54	59
888	Davis College
889	Daytona State College			77
890	Dean College	845	48	69
891	Defiance College	889	50	62
892	Delaware Valley College	979	58	74
893	Delta State University	980	37	62
894	DEREE--The American College of Greece
895	DeSales University	1087	67	82
896	DeVry University	920	32
897	Dickinson State University		31	68
898	Dillard University	845	31	67
899	Divine Word College
900	Dixie State College of Utah		39	58
901	Doane College		64	76
902	Dominican College	885	34	68
903	Dominican University	1061	66	81
904	Dominican University of California	1056	57	82
905	Donnelly College
906	Dowling College		34	65
907	Drury University	1124	65	83
908	Dunwoody College of Technology
909	East Central University		32	65
910	East Stroudsburg University of Pennsylvania	959	57	75
911	East Tennessee State University	981	41	70
912	East Texas Baptist University	960	32	59
913	East-West University		19	35
914	Eastern Illinois University		60	79
915	Eastern Mennonite University	1023	59	78
916	Eastern New Mexico University		26	64
917	Eastern Oregon University	926	32	69
918	Eastern University	1049	59	78
919	Eastern Washington University	957	46	74
920	Eckerd College	1105	60	80
921	ECPI University		38	51
922	Edgewood College	1125	53	78
923	Edinboro University of Pennsylvania	932	45	73
924	Edison State College
925	Edward Waters College		15
926	Elizabeth City State University	839	43	77
927	Elizabethtown College	1102	74	85
928	Elmhurst College	1083	74	80
929	Elmira College	1070	57	73
930	Elon University	1229	83	90
931	Embry-Riddle Aeronautical University--Prescott	1151
932	Emerson College	1251	82	88
933	Emmanuel College - Franklin Springs, GA	947	38	63
934	Emmanuel College - Boston, MA	1116	58	81
935	Emmaus Bible College
936	Emory and Henry College	991	46	73
937	Emporia State University	1058	42	70
938	Endicott College	1068	72	84
939	Erskine College		62	73
940	Escuela de Artes Plasticas de Puerto Rico
941	Eureka College		53	66
942	Evangel University	1013	49	72
943	Everest College--Phoenix		26
944	Everglades University		63	70
945	Excelsior College	1040
946	Fairmont State University	962	34	65
947	Faith Baptist Bible College and Theological Seminary
948	Farmingdale State College--SUNY	1019	45	81
949	Fashion Institute of Technology		66	86
950	Fayetteville State University	838	31	72
951	Felician College	845	42	69
952	Ferris State University	1060	56	72
953	Ferrum College	881	33	55
954	Finlandia University		37	48
955	Fisher College	840	37	66
956	Fisk University		54	73
957	Fitchburg State University	985	50	76
958	Five Towns College	906	43
959	Flagler College	1110	65	74
960	Florida Christian College
961	Florida College	1040	8
962	Florida Memorial University		38	71
963	Florida Southern College	1071	55	77
964	Florida State College--Jacksonville
965	Fontbonne University	855	34	70
966	Fort Valley State University	863	31	64
967	Framingham State University	1035	52	74
968	Francis Marion University	936	43	67
969	Franciscan University of Steubenville	1163	78	86
970	Frank Lloyd Wright School of Architecture		29
971	Franklin and Marshall College	1302	83	93
972	Franklin College	1021	60	75
973	Franklin College Switzerland	1216
974	Franklin University		25
975	Franklin W. Olin College of Engineering	1465	93	97
976	Freed-Hardeman University	1093	54	72
977	Fresno Pacific University	992	72	76
978	Friends University		30	66
979	Frostburg State University	969	45	72
980	Gallaudet University	880	33	74
981	Gannon University	1037	65	80
982	Gardner-Webb University	1003	48	71
983	Geneva College	1055	62	77
984	Georgetown College	1036	60	76
985	Georgia College & State University	1135	57	85
986	Georgia Gwinnett College	935		71
987	Georgia Regents University
988	Georgia Southern University	1097	50	79
989	Georgia Southwestern State University	975	29	66
990	Georgian Court University	885	49	72
991	Glenville State College	830	30	62
992	God's Bible School and College
993	Goddard College		55
994	Golden Gate University
995	Goldey-Beacom College		46	70
996	Goldfarb School of Nursing at Barnes-Jewish College
997	Gordon College	1153	74	84
998	Gordon State College
999	Goshen College	1084	70	81
1000	Goucher College	1123	66	81
1001	Governors State University
1002	Grace Bible College		35	60
1003	Grace College and Seminary	1055	58	81
1004	Grand Canyon University	941	34	41
1005	Granite State College		52	57
1006	Gratz College		75
1007	Great Basin College		16
1008	Great Lakes Christian College
1009	Green Mountain College	1076	42	70
1010	Greensboro College		43	64
1011	Greenville College	1001	54	70
1012	Gwynedd-Mercy College	940	75	79
1013	Hampshire College	1246	64	83
1014	Hampton University		55	77
1015	Hannibal-LaGrange University	997	44	58
1016	Hanover College	1090	65	81
1017	Hardin-Simmons University	1025	47	67
1018	Harding University	1110	61	81
1019	Harrington College of Design		24
1020	Harris-Stowe State University		14	45
1021	Harrisburg University of Science and Technology	962	18	60
1022	Hartwick College	1089	58	75
1023	Haskell Indian Nations University
1024	Hastings College	1057	55	73
1025	Hawaii Pacific University	967	40	69
1026	Hebrew Theological College
1027	Heidelberg University	979	53	62
1028	Hellenic College
1029	Henderson State University	1016	36	60
1030	Heritage University		14
1031	Herzing University		38	47
1032	Hilbert College		46	68
1033	Hillsdale College	1319	77	96
1034	Hiram College	1027	63	76
1035	Hobart and William Smith Colleges	1217	76	88
1036	Hodges University		22
1037	Hollins University	1113	56	72
1038	Holy Apostles College and Seminary
1039	Holy Cross College	966	19	49
1040	Holy Family University	945	61	76
1041	Holy Names University	909	39	72
1042	Hope International University	945	33	67
1043	Houghton College	1151	67	86
1044	Houston Baptist University	1085	44	68
1045	Howard Payne University	970	45	62
1046	Hult International Business School
1047	Humphreys College		53
1048	Huntington University	950	58	76
1049	Huston-Tillotson University		24	52
1050	Illinois College		62	81
1051	Illinois Institute of Art at Chicago		33
1052	Illinois State University		71	84
1053	Indian River State College			61
1054	Indiana Institute of Technology	887	30	57
1055	Indiana University East	922	25	64
1056	Indiana University Northwest	906	22	67
1057	Indiana University Southeast	933	27	62
1058	Indiana University--Kokomo	937	22	62
1059	Indiana University--South Bend	937	23	64
1060	Indiana University-Purdue University--Fort Wayne	990	22	61
1061	Institute of American Indian and Alaska Native Culture and Arts Development
1062	Inter American University of Puerto Rico--Aguadilla
1063	Inter American University of Puerto Rico--Arecibo
1064	Inter American University of Puerto Rico--Barranquitas
1065	Inter American University of Puerto Rico--Bayamon
1066	Inter American University of Puerto Rico--Fajardo
1067	Inter American University of Puerto Rico--Guayama
1068	Inter American University of Puerto Rico--Metropolitan Campus
1069	Inter American University of Puerto Rico--Ponce
1070	Inter American University of Puerto Rico--San German
1071	International College of the Cayman Islands
1072	Iona College	1014	65	80
1073	Iowa Wesleyan College		30	42
1074	Ithaca College	1158	77	85
1075	Jacksonville University	1044	37	61
1076	Jarvis Christian College	751	17	49
1077	Jewish Theological Seminary of America
1078	John Carroll University	1104	75	86
1079	John F. Kennedy University
1080	Johnson C. Smith University	850	42	71
1081	Johnson State College		31	64
1082	Johnson University
1083	Jones International University		48
1084	Judson College		38	65
1085	Judson University	1066	50	72
1086	Juilliard School		89	88
1087	Juniata College	1165	75	86
1088	Kansas City Art Institute	1027	59	76
1089	Kansas State University	980	58	81
1090	Kansas Wesleyan University	1000	40	55
1091	Kaplan University
1092	Keiser University		60	84
1093	Kendall College		44	56
1094	Kennesaw State University	1071	42	76
1095	Kentucky Christian University	963	41	61
1096	Kentucky State University	813	14	51
1097	Kentucky Wesleyan College	957	36	59
1098	Kettering College
1099	Keuka College	929	52	69
1100	Keystone College	891	42	65
1101	King University	1000	50	70
1102	King's College - Wilkes-Barre, PA	1036	68	78
1103	King's College - New York, NY	1139	58	66
1104	Kutztown University of Pennsylvania	954	55	76
1105	Kuyper College		43	73
1106	La Roche College	930	47	67
1107	La Salle University	998	68	81
1108	La Sierra University	947	45	75
1109	LaGrange College	1014	43	64
1110	Laguna College of Art and Design		50	73
1111	Lake Erie College	991	48	66
1112	Lake Forest College		70	84
1113	Lake Superior State University		32	69
1114	Lakeland College		43	68
1115	Lakeview College of Nursing
1116	Lamar University	905	32	62
1117	Lancaster Bible College
1118	Lander University		40	64
1119	Lane College		38	57
1120	Langston University		24	53
1121	Lasell College	979	44	70
1122	Lawrence Technological University	1134	45	75
1123	Lawrence University	1273	73	89
1124	Le Moyne College	1100	69	84
1125	Lebanon Valley College	1087	72	85
1126	Lee University	1066	49	72
1127	Lees-McRae College	945	35	59
1128	LeMoyne-Owen College		8	57
1129	Lenoir-Rhyne University	1003	47	67
1130	Lesley University	1076	46	76
1131	LeTourneau University	1157	61	75
1132	Lewis & Clark College	1281	76	86
1133	Lewis University	1100	59	80
1134	Lewis-Clark State College	975	26	51
1135	Lexington College		13
1136	Liberty University	1035	46	77
1137	Life Pacific College
1138	Life University		41	72
1139	LIM College		54	64
1140	Limestone College	1018	39	59
1141	Lincoln Christian University	1003
1142	Lincoln College			53
1143	Lincoln Memorial University	1007	45	67
1144	Lincoln University - Jefferson City, MO		23
1145	Lincoln University - Lincoln University, PA	848	37	68
1146	Lindenwood University	1027	41	72
1147	Lindsey Wilson College		32	56
1148	LIU Post	993	42	70
1149	Livingstone College	749	23	52
1150	Lock Haven University of Pennsylvania	950	49	70
1151	Loma Linda University
1152	Longwood University	1029	61	79
1153	Loras College		62	76
1154	Louisiana College	1020	41	62
1155	Louisiana State University Health Sciences Center
1156	Louisiana State University--Alexandria	1000	14	57
1157	Louisiana State University--Shreveport	1075	27	66
1158	Lourdes University		26	59
1159	Loyola Marymount University	1205	75	90
1160	Lubbock Christian University	981	43	64
1161	Lycoming College	1031	65	81
1162	Lyme Academy College of Fine Arts		72	82
1163	Lynchburg College	1004	57	73
1164	Lyndon State College		34	61
1165	Lynn University	902	40	62
1166	Lyon College	1073	49	65
1167	MacMurray College	883	36	56
1168	Madonna University	1024	36	81
1169	Maharishi University of Management		50	80
1170	Maine College of Art		45	77
1171	Maine Maritime Academy	1026	62	80
1172	Malone University	1029	62	69
1173	Manchester University	1006	57	68
1174	Manhattan Christian College
1175	Manhattan College	1059	75	85
1176	Manhattan School of Music		70
1177	Manhattanville College	1052	57	73
1178	Mansfield University of Pennsylvania	934	48	72
1179	Maranatha Baptist Bible College	1045	46	75
1180	Marian University - Indianapolis, IN	1024	59	72
1181	Marian University - Fond du Lac, WI		51	71
1182	Marietta College	1080	63	78
1183	Marist College	1173	80	89
1184	Marlboro College		59	64
1185	Mars Hill University	949	46	57
1186	Martin Luther College		72	84
1187	Martin Methodist College		49	55
1188	Martin University		16
1189	Mary Baldwin College	933	50	66
1190	Marygrove College		26	61
1191	Marylhurst University		18	66
1192	Marymount Manhattan College	1153	40	65
1193	Maryville College	994	53	73
1194	Marywood University	1045	67	83
1195	Massachusetts College of Art and Design	1101	64	89
1196	Massachusetts College of Liberal Arts	1040	47	74
1197	Massachusetts College of Pharmacy and Health Sciences
1198	Massachusetts Maritime Academy	1023	61	87
1199	Master's College and Seminary	1098	56	80
1200	Mayville State University		36	54
1201	McKendree University	995	49	79
1202	McMurry University	988	37	57
1203	McNeese State University	1014	38	68
1204	McPherson College		46	65
1205	Medaille College	875	45	67
1206	Medical University of South Carolina
1207	Memorial University of Newfoundland
1208	Memphis College of Art		42	66
1209	Menlo College	974	42	71
1210	Mercy College		34	65
1211	Mercy College of Health Sciences
1212	Mercy College of Ohio
1213	Mercyhurst University	1069	66	81
1214	Merrimack College	1029	64	81
1215	Messiah College	1135	76	86
1216	Methodist University		41	65
1217	Metropolitan College of New York		33	49
1218	Metropolitan State University	1150	23	64
1219	Metropolitan State University of Denver	1068	25	66
1220	Miami Dade College
1221	Miami International University of Art & Design
1222	Mid-America Christian University		17	58
1223	Mid-Atlantic Christian University		32	62
1224	Mid-Continent University		36	66
1225	Middle Georgia State College		17	65
1226	Middle Tennessee State University	1045	45	72
1227	Midland College
1228	Midland University		46	61
1229	Midstate College		25	50
1230	Midway College		49	77
1231	Midwestern State University	985	41	71
1232	Miles College		22	54
1233	Millersville University of Pennsylvania	1009	64	81
1234	Milligan College	1064	60	79
1235	Millikin University	1036	55	78
1236	Mills College	1159	63	78
1237	Milwaukee Institute of Art and Design		57	73
1238	Minneapolis College of Art and Design	1061	72	81
1239	Minnesota State University--Mankato		55	75
1240	Minnesota State University--Moorhead	1013	45	67
1241	Minot State University	967	33	67
1242	Misericordia University	1041	68	85
1243	Mississippi College	1072	62	72
1244	Mississippi University for Women	1094	39	73
1245	Missouri Baptist University	975	38	67
1246	Missouri Southern State University	1190	34	62
1247	Missouri State University	1087	55	75
1248	Missouri Valley College		30	50
1249	Missouri Western State University		30	62
1250	Mitchell College		33	66
1251	Molloy College	1058	62	88
1252	Monmouth College		58	75
1253	Monroe College		65	76
1254	Montana State University--Billings	980	33	57
1255	Montana State University--Northern		26	60
1256	Monterrey Institute of Technology and Higher Education--Monterrey
1257	Montreat College		32	65
1258	Montserrat College of Art		44	74
1259	Moody Bible Institute
1260	Moore College of Art & Design		55
1261	Moravian College	1043	74	78
1262	Morgan State University	889	30	71
1263	Morris College		29
1264	Morrisville State College	859	59	57
1265	Mount Aloysius College	895	33	62
1266	Mount Angel Seminary
1267	Mount Carmel College of Nursing
1268	Mount Holyoke College	1328	81	91
1269	Mount Ida College	859	42	64
1270	Mount Marty College		51	71
1271	Mount Mary University		35	67
1272	Mount Olive College	925	44	65
1273	Mount St. Mary College	1005	56	71
1274	Mount St. Mary's College	926	61	81
1275	Mount St. Mary's University	1098	67	80
1276	Mount Vernon Nazarene University	1017	54	74
1277	Mount Washington College		14
1278	Multnomah University	1053
1279	Muskingum University	987	50	70
1280	Naropa University		41	62
1281	National American University		22
1282	National Graduate School of Quality Management
1283	National Hispanic University		20
1284	National Labor College
1285	National University		37
1286	National-Louis University		20	41
1287	Nazarene Bible College
1288	Nazareth College	1115	73	83
1289	Nebraska Methodist College	1007
1290	Nebraska Wesleyan University		65	80
1291	Neumann University	872	51	73
1292	Nevada State College		16
1293	New College of Florida	1295	69	84
1294	New England College	895	42	60
1295	New England Conservatory of Music		75	95
1296	New England Institute of Art		39
1297	New England Institute of Technology
1298	New Jersey City University	867	34	70
1299	New Mexico Highlands University	873	20	49
1300	New Mexico Institute of Mining and Technology	1238	49	72
1301	New Orleans Baptist Theological Seminary
1302	New York Institute of Technology	1128	46	76
1303	Newberry College	912	40	64
1304	Newbury College	875	44	58
1305	Newman University	1063	48	71
1306	Niagara University	1038	67	79
1307	Nicholls State University	951	39	69
1308	Nichols College		50	67
1309	Norfolk State University	874	36
1310	North Carolina Central University	847	43	72
1311	North Carolina Wesleyan College	874	24	55
1312	North Central College		68	80
1313	North Central University	1100	46	67
1314	North Greenville University	1093	54	69
1315	North Park University	1047	56	71
1316	Northcentral University			100
1317	Northeastern Illinois University		21	65
1318	Northeastern State University		30	64
1319	Northern Kentucky University	990	37	67
1320	Northern Michigan University		47	72
1321	Northern New Mexico College
1322	Northern State University	1009	46	69
1323	Northland College	1089	54	71
1324	Northwest Christian University	977	44	70
1325	Northwest Florida State College
1326	Northwest Missouri State University	995	52	68
1327	Northwest Nazarene University	1066	55	74
1328	Northwest University	1061	48	75
1329	Northwestern Health Sciences University
1330	Northwestern Oklahoma State University	895	34	63
1331	Northwestern State University of Louisiana	985	40	69
1332	Northwood University	997	54	78
1333	Notre Dame College of Ohio	936	36	66
1334	Notre Dame de Namur University	967	47	74
1335	Notre Dame of Maryland University	1019	48	74
1336	Nova Scotia College of Art and Design
1337	Nyack College		40	66
1338	Oakland City University	910	65	75
1339	Oakland University		43	73
1340	Oakwood University	909	38	71
1341	Oglala Lakota College
1342	Oglethorpe University	1130	55	77
1343	Ohio Christian University		45	53
1344	Ohio Dominican University	993	41	63
1345	Ohio Valley University	974	55	60
1346	Ohio Wesleyan University	1133	68	83
1347	Oklahoma Baptist University	1085	51	75
1348	Oklahoma Christian University	1095	49	74
1349	Oklahoma City University	1105	56	77
1350	Oklahoma State University Institute of Technology--Okmulgee
1351	Oklahoma State University--Oklahoma City
1352	Oklahoma Wesleyan University	911	45	62
1353	Olivet College		43	68
1354	Olivet Nazarene University	1085	57	73
1355	Olympic College
1356	Oregon College of Art and Craft
1357	Oregon Health and Science University
1358	Otis College of Art and Design	1015	55	81
1359	Ottawa University	800	41	54
1360	Otterbein University	1085	59	76
1361	Ouachita Baptist University	1069	59	78
1362	Our Lady of Holy Cross College		27	65
1363	Our Lady of the Lake College
1364	Our Lady of the Lake University	887	27	61
1365	Pacific Northwest College of Art		34
1366	Pacific Oaks College
1367	Pacific Union College	1021	40	73
1368	Paine College	791	22	58
1369	Palm Beach Atlantic University	1033	51	68
1370	Palmer College of Chiropractic	1000
1371	Park University		41	68
1372	Parker University
1373	Patten University		27	20
1374	Paul Smith's College		38	62
1375	Peirce College		42	100
1376	Peninsula College
1377	Pennsylvania College of Art and Design		48
1378	Pennsylvania College of Technology		52	66
1379	Pennsylvania State University--Erie, The Behrend College	1029
1380	Pennsylvania State University--Harrisburg
1381	Peru State College		34	58
1382	Pfeiffer University	949	41	67
1383	Philadelphia University	1053	61	77
1384	Philander Smith College	951	31	70
1385	Piedmont College	1040	52	74
1386	Pine Manor College		38	60
1387	Pittsburg State University		48	72
1388	Pitzer College	1310	87	92
1389	Plaza College
1390	Point Loma Nazarene University	1157	75	83
1391	Point Park University	1021	50	76
1392	Point University	905	38	62
1393	Polytechnic Institute of New York University	1280	62	86
1394	Pontifical Catholic University of Puerto Rico
1395	Pontifical College Josephinum
1396	Post University	889	25	52
1397	Potomac College		16	88
1398	Prairie View A&M University	919	34	68
1399	Pratt Institute	1186	65	82
1400	Prescott College	1083	45	64
1401	Presentation College		45	67
1402	Principia College	1073	76	84
1403	Puerto Rico Conservatory of Music
1404	Purchase College--SUNY	1086	63	82
1405	Purdue University--Calumet		27	69
1406	Purdue University--North Central	935	18	56
1407	Queens University of Charlotte	1047	52	72
1408	Quincy University	963	56	72
1409	Radford University	993	60	76
1410	Randolph College	1102	57	76
1411	Ranken Technical College		30
1412	Regent's American College London
1413	Regis College	932
1414	Reinhardt University	878	27	65
1415	Research College of Nursing
1416	Resurrection University
1417	Richmond--The American International University in London
1418	Ringling College of Art and Design		66	81
1419	Roanoke College	1077	65	79
1420	Robert B. Miller College
1421	Robert Morris University - Chicago, IL		48	51
1422	Robert Morris University - Moon Township, PA	1021	54	77
1423	Roberts Wesleyan College	1057	59	80
1424	Rochester College		40	61
1425	Rochester Institute of Technology	1199	63	87
1426	Rockford University		39	64
1427	Rocky Mountain College	973	51	66
1428	Rocky Mountain College of Art and Design		51	55
1429	Roger Williams University	1083	61	79
1430	Rogers State University		20	56
1431	Rollins College	1192	72	82
1432	Rosalind Franklin University of Medicine and Science
1433	Rosemont College	952	61	69
1434	Rush University
1435	Rust College		32	57
1436	Rutgers, the State University of New Jersey--Camden	1035	63	82
1437	Ryerson University
1438	Sacred Heart Major Seminary
1439	Saginaw Valley State University	990	39	70
1440	Salem College	1109	62	79
1441	Salem International University		35	46
1442	Salem State University	983	45	76
1443	Salish Kootenai College
1444	Samuel Merritt University
1445	San Diego Christian College	939	43	60
1446	San Francisco Art Institute	1013	46	56
1447	San Francisco Conservatory of Music		68	80
1448	Sanford College of Nursing
1449	Santa Clara University	1288	86	94
1450	Santa Fe University of Art and Design	1036	50	45
1451	Sarah Lawrence College		74	82
1452	Savannah College of Art and Design	1059	66	82
1453	Savannah State University		31	72
1454	School of the Art Institute of Chicago		61	77
1455	School of Visual Arts	1020	68	81
1456	Schreiner University	966	39	65
1457	Scripps College	1360	90	92
1458	Seton Hill University		57	75
1459	Shaw University	735	26	52
1460	Shawnee State University	929	20	52
1461	Shenandoah University	1012	38	75
1462	Shepherd University	1011	43	67
1463	Shimer College		38	84
1464	Shippensburg University of Pennsylvania	984	57	71
1465	Shorter University		51	71
1466	Siena College	1107	73	88
1467	Sierra Nevada College		49	66
1468	Silver Lake College		42	60
1469	Simmons College	1149	67	82
1470	Simon Fraser University
1471	Simpson University	1003	41	69
1472	Sinte Gleska University
1473	Sitting Bull College
1474	Skidmore College	1225	88	94
1475	Slippery Rock University of Pennsylvania	996	62	81
1476	Smith College	1317	85	92
1477	Sojourner-Douglass College		24
1478	Soka University of America	1196	92	95
1479	Sonoma State University	1011	59	80
1480	South College		26
1481	South Seattle Community College
1482	South Texas College
1483	South University	830	24	46
1484	Southeast Missouri State University		46	72
1485	Southeastern Oklahoma State University		30	56
1486	Southeastern University		40	65
1487	Southern Adventist University	1024	48	71
1488	Southern Arkansas University	965	34	61
1489	Southern Baptist Theological Seminary
1490	Southern California Institute of Architecture		67
1491	Southern Illinois University--Carbondale		50	66
1492	Southern Illinois University--Edwardsville	1006	52	71
1493	Southern Nazarene University		40	64
1494	Southern Polytechnic State University	1109	37	75
1495	Southern University and A&M College		26	76
1496	Southern University--New Orleans		6	47
1497	Southern Vermont College	1086	31	58
1498	Southern Wesleyan University		42	70
1499	Southwest Baptist University		48	62
1500	Southwest Minnesota State University		40	69
1501	Southwest University of Visual Arts		53
1502	Southwestern Adventist University	924	38	62
1503	Southwestern Assemblies of God University	989	38	67
1504	Southwestern Christian College
1505	Southwestern Christian University		20	60
1506	Southwestern Oklahoma State University		35	64
1507	Southwestern University	1203	75	86
1508	Spalding University	941	38	73
1509	Spring Arbor University		52	74
1510	Spring Hill College	1081	62	76
1511	Springfield College	1016	66	85
1512	St. Anthony College of Nursing
1513	St. Augustine College
1514	St. Augustine's University		36	51
1515	St. Bonaventure University	1039	64	81
1516	St. Catharine College		10	55
1517	St. Catherine University		59	82
1518	St. Charles Borromeo Seminary
1519	St. Cloud State University		49	71
1520	St. Edward's University	1119	69	81
1521	St. Francis College	939	52	79
1522	St. Francis Medical Center College of Nursing
1523	St. Francis University	1022	65	83
1524	St. Gregory's University		28	42
1525	St. John Fisher College	1049	75	83
1526	St. John Vianney College Seminary
1527	St. John's College - Annapolis, MD		67	90
1528	St. John's College - Santa Fe, NM		54	72
1529	St. John's College - Springfield, IL
1530	St. John's University - Collegeville, MN	1057	77	91
1531	St. John's University - Queens, NY	1095	59	78
1532	St. Joseph Seminary College
1533	St. Joseph's College - Rensselaer, IN	973	50	64
1534	St. Joseph's College - Standish, ME		57	93
1535	St. Joseph's College New York	1043	67	85
1536	St. Joseph's University	1121	79	88
1537	St. Lawrence University	1215	80	92
1538	St. Leo University	1011	43	69
1539	St. Louis College of Pharmacy	1260
1540	St. Luke's College of Health Sciences
1541	St. Martin's University	1030	54	73
1542	St. Mary's College	1125	78	87
1543	St. Mary's College of California	1110	61	87
1544	St. Mary's College of Maryland	1202	81	88
1545	St. Mary's Seminary and University
1546	St. Mary's University of Minnesota	971	62	76
1547	St. Mary's University of San Antonio	1029	53	75
1548	St. Mary-of-the-Woods College	939	62	72
1549	St. Michael's College	1144	82	89
1550	St. Norbert College		75	83
1551	St. Paul's College		16	37
1552	St. Peter's University	933	52	75
1553	St. Petersburg College
1554	St. Thomas Aquinas College	963	49	77
1555	St. Vincent College	1051	73	83
1556	St. Xavier University	965	54	72
1557	Stephen F. Austin State University	980	43	64
1558	Stephens College	1028	56	67
1559	Sterling College - Sterling, KS	925	34	62
1560	Sterling College - Craftsbury Common, VT		49	65
1561	Stetson University	1143	64	78
1562	Stevenson University	991	64	75
1563	Stillman College	895	25	58
1564	Stonehill College	1153	80	89
1565	Suffolk University	1013	56	74
1566	Sul Ross State University	1003	24
1567	Sullivan University		69
1568	SUNY College of Agriculture and Technology--Cobleskill	880	48	75
1569	SUNY College of Technology--Alfred	939	55	78
1570	SUNY College of Technology--Canton	887	32	68
1571	SUNY College of Technology--Delhi	902	57	68
1572	SUNY College--Old Westbury	983	35	77
1573	SUNY College--Potsdam		51	77
1574	SUNY Downstate Medical Center
1575	SUNY Empire State College		23
1576	SUNY Institute of Technology--Utica/Rome	1060	34	71
1577	SUNY Maritime College	1091	44	77
1578	SUNY Upstate Medical University
1579	Susquehanna University		74	85
1580	Sweet Briar College	1055	62	77
1581	Tabor College	971	50	65
1582	Talladega College		20	55
1583	Tarleton State University		40	67
1584	Tennessee Technological University	1102	52	73
1585	Tennessee Wesleyan College	920	44	64
1586	Texas A&M International University	914	39	71
1587	Texas A&M University--Commerce		36	68
1588	Texas A&M University--Corpus Christi	956	40	62
1589	Texas A&M University--Galveston
1590	Texas A&M University--Kingsville	887	32	59
1591	Texas A&M University--Texarkana			44
1592	Texas College		7	49
1593	Texas Lutheran University	979	46	69
1594	Texas Southern University	817	12	63
1595	Texas State University	1031	54	79
1596	Texas Tech University Health Sciences Center
1597	Texas Wesleyan University	1000	36	64
1598	The Sage Colleges	946	52	76
1599	Thiel College	955	32	62
1600	Thomas Aquinas College	1273	76	85
1601	Thomas College	905	40	60
1602	Thomas Edison State College	1020
1603	Thomas Jefferson University
1604	Thomas More College	1022	49	68
1605	Thomas More College of Liberal Arts		59
1606	Thomas University		14	47
1607	Tiffin University	968	38	65
1608	Tilburg University
1609	Toccoa Falls College	1035	45	68
1610	Tougaloo College	823	52	75
1611	Touro College	1159	56	83
1612	Trent University
1613	Trident University International		72
1614	Trine University	1079	53	73
1615	Trinity Christian College	1107	56	77
1616	Trinity College of Nursing & Health Sciences
1617	Trinity Lutheran College		61	62
1618	Trinity University - Washington, DC		39	66
1619	Trinity University - San Antonio, TX	1241	80	89
1620	Trinity Western University
1621	Truett McConnell College		14	60
1622	Tusculum College		38	59
1623	Union College - Barbourville, KY		34	56
1624	Union College - Lincoln, NE	988	50	69
1625	Union College - Schenectady, NY	1293	83	93
1626	Union Institute and University		20	67
1627	United States Coast Guard Academy	1226	84	89
1628	United States International University--Kenya
1629	United States Merchant Marine Academy	1259	74	83
1630	United States Military Academy	1257	83	94
1631	United States Naval Academy	1320	87	97
1632	United States Sports Academy
1633	Unity College		50	71
1634	Universidad Adventista de las Antillas
1635	Universidad del Este
1636	Universidad del Turabo
1637	Universidad Metropolitana
1638	Universidad Politecnica De Puerto Rico
1639	University at Buffalo--SUNY	1151	70	88
1640	University of Advancing Technology		30	63
1641	University of Akron	1020	40	70
1642	University of Alaska--Anchorage	1029	26	72
1643	University of Alaska--Fairbanks	1033	33	77
1644	University of Alaska--Southeast		24	58
1645	University of Alberta
1646	University of Arkansas for Medical Sciences
1647	University of Arkansas--Fort Smith		24	62
1648	University of Arkansas--Little Rock		20	62
1649	University of Arkansas--Monticello		25	39
1650	University of Baltimore	953		78
1651	University of British Columbia
1652	University of Calgary
1653	University of Central Arkansas	1010	41	71
1654	University of Central Missouri		49	72
1655	University of Central Oklahoma	1060	39	66
1656	University of Charleston	961	41	65
1657	University of Cincinnati--UC Blue Ash College
1658	University of Findlay	1035	51	76
1659	University of Great Falls		23	59
1660	University of Guam
1661	University of Guelph
1662	University of Hawaii--Hilo		33	70
1663	University of Hawaii--Maui College
1664	University of Hawaii--West Oahu	881		52
1665	University of Houston--Clear Lake
1666	University of Houston--Downtown	876	12	62
1667	University of Houston--Victoria			54
1668	University of Illinois--Springfield		47	74
1669	University of Indianapolis	1003	54	74
1670	University of Jamestown	917	50	70
1671	University of Kansas	1223	64	79
1672	University of Maine--Augusta		16	54
1673	University of Maine--Farmington	973	59	73
1674	University of Maine--Fort Kent	893	41	66
